Track,Album Name,Artist,Release Date,ISRC,All Time Rank,Track Score,Spotify Streams,Spotify Playlist Count,Spotify Playlist Reach,Spotify Popularity,YouTube Views,YouTube Likes,TikTok Posts,TikTok Likes,TikTok Views,YouTube Playlist Reach,Apple Music Playlist Count,AirPlay Spins,SiriusXM Spins,Deezer Playlist Count,Deezer Playlist Reach,Amazon Playlist Count,Pandora Streams,Pandora Track Stations,Soundcloud Streams,Shazam Counts,TIDAL Popularity,Explicit Track,Album Cover URL
I Hate U,I Hate U - Single,SZA,12-03-2021,USRC12103605,956,49.2,456871037,71261,34724014,66,142820854,1393679,877769,211488170,1676387442,85726782,105,136784,1324,29,699151,19,92133806,29242,15212609,1854776,,1,https://i.scdn.co/image/ab67616d0000b2732cb5c3a1013e6be7084da957
No Role Modelz,2014 Forest Hills Drive,J. Cole,12-09-2014,USQX91402598,955,49.3,2235160830,403355,73668045,81,656310159,4852226,744556,138864977,885273359,184893947,115,11860,61,41,370317,21,657042048,203470,,5513979,,1,https://i.scdn.co/image/ab67616d0000b273c6e0948bbb0681ff29cdbae8
Symphony (feat. Zara Larsson),Symphony (feat. Zara Larsson),Clean Bandit,3/16/2017,GBAHS1700199,954,49.3,1456894713,141677,49274720,71,1523128022,9966382,707674,33256295,386013926,1419194972,173,84752,17,82,706468,41,76856978,79418,18687841,9434537,,0,https://i.scdn.co/image/ab67616d0000b27337fb0680110fbb107740de5d
"Baddadan (feat. IRAH, Flowdan, Trigga & Takura)","Baddadan (feat. IRAH, Flowdan, Trigga & Takura)",Chase & Status,7/27/2023,GBUM72306881,953,49.3,118804209,57036,35240391,71,16072797,207183,,,,125042,29,6016,,14,2609137,34,154435,495,6256341,908754,,0,https://i.scdn.co/image/ab67616d0000b273adfadf345224340773549507
Si Se Da,Si Se Da,Myke Towers,2/26/2019,QM4TX1920224,952,49.3,317223968,47247,7578697,54,1867482161,5147665,15153,1209967,14034398,133593097,21,5622,9,6,74161,38,79260855,11001,,1796737,,1,https://i.scdn.co/image/ab67616d0000b2730e13eee4ec9f7ca9c603baf4
Rain On Me (with Ariana Grande),Rain On Me (with Ariana Grande),Lady Gaga,5/22/2020,USUM72004304,951,49.3,1060378159,104647,55948663,68,514581598,6465409,442243,80912710,538854965,382160207,320,354978,438,143,2320730,105,62220803,71438,,3888061,,0,https://i.scdn.co/image/ab67616d0000b2736040effba89b9b00a6f6743a
Holy (feat. Chance The Rapper),Holy,Justin Bieber,9/18/2020,USUM72017013,950,49.3,787546548,110389,44478175,63,396861382,6241346,193594,69149295,561056269,1394478465,178,399515,339,51,257512,54,85450020,45037,,3589419,,0,https://i.scdn.co/image/ab67616d0000b273572c68f79b356c21202e248c
ecstacy (slowed),ecstacy (slowed),SUICIDAL-IDOL,06-06-2023,QZK6F2330686,949,49.3,242661037,43999,9893510,74,51722759,783780,499500,69556599,646143014,460974,5,,948,1,9696,1,496607,1659,,2552266,,1,https://i.scdn.co/image/ab67616d0000b273cddfe70492c57a78e4d86b1c
Lonely At The Top,Work Of Art,Asake,6/15/2023,USUYG1490059,947,49.4,84655991,13107,7678884,69,75076449,510479,1513241,16795588,382487197,72422815,36,11861,89,6,164069,26,779288,650,1367844,2361169,,0,https://i.scdn.co/image/ab67616d0000b2737e2b5827ffc185e44c3e6ef0
POP!,IM NAYEON,NAYEON,6/24/2022,US5TA2200041,946,49.4,296828933,25748,12535016,69,407776018,8669558,1937239,548973446,5178604164,240970840,18,3491,83,3,17624,26,1106839,2484,,445036,,0,https://i.scdn.co/image/ab67616d0000b2735fb4a9cfbeb3b7beb337ed02
family ties,family ties - Single,Baby Keem,8/27/2021,USSM12105949,945,49.5,786298066,204148,57623622,77,63403993,557514,55168,80647899,532021210,764790,62,21505,354,20,174320,38,6412824,10269,,1938598,,1,https://i.scdn.co/image/ab67616d0000b2731bfa23b13d0504fb90c37b39
Whatever It Takes,Whatever It Takes,Imagine Dragons,05-09-2017,USUM71703515,944,49.5,1257258072,156442,33271283,76,1192880501,7815307,202700,27054065,340416328,158079968,86,148594,260,37,367136,9,359252086,209287,,12160416,,0,https://i.scdn.co/image/ab67616d0000b2735675e83f707f1d7271e5cf8a
Ride the Vibe,Ride the Vibe,NEXZ,5/20/2024,US5TA2400118,942,49.6,899456,147,2784044,46,31419384,139393,,,,127867,2,31,,1,5401,8,1012,2,,8204,,0,https://i.scdn.co/image/ab67616d0000b2739f6800546cfaaacb3fa4b145
Softly,Making Memories,Karan Aujla,8/18/2023,CAW112300244,941,49.6,150073848,12340,8409772,71,232389376,1637844,70200,8387797,169068391,185360520,17,455,4,1,9696,20,46920,240,2691081,270472,,0,https://i.scdn.co/image/ab67616d0000b273bb25239324c4e16ae01fda36
Tacones Rojos,Tacones Rojos,Sebastian Yatra,10/22/2021,USUM72119612,940,49.6,641756842,80542,23090494,68,558812868,2887216,328394,77295943,855230861,387792262,78,438,875,40,686168,85,9553399,8482,723371,2934783,,0,https://i.scdn.co/image/ab67616d0000b27357478530ad71205d6d1a46ca
ROXANNE,ROXANNE,Arizona Zervas,10-10-2019,USSM11914320,939,49.7,1474968552,170595,31145335,68,473697535,5439167,1513097,565840941,4972391653,251187916,154,271106,583,78,626621,2,,,,4556715,,1,https://i.scdn.co/image/ab67616d0000b273069a93617a916760ab88ffea
Bad Liar,Bad Liar,Imagine Dragons,11-06-2018,USUM71816161,938,49.8,1056929910,134812,31112950,74,908433462,8291217,1429594,181729752,2058078137,1802807851,54,118378,37,31,384519,12,130853305,106853,,11123506,,0,https://i.scdn.co/image/ab67616d0000b273da6f73a25f4c79d0e6b4a8bd
You Are The Reason,You Are The Reason,Calum Scott,11/17/2017,USUM71710315,937,49.8,1042531612,119883,31204776,73,1425188874,10037251,1513635,180692022,1930209423,1629614639,70,18397,8,17,70256,8,292156274,102664,,6610744,,0,https://i.scdn.co/image/ab67616d0000b273f2d671c22b70e01b78a618a8
Wild Ones (feat. Jelly Roll),Wild Ones (feat. Jelly Roll),Jessie Murph,10-06-2023,USQX92304180,936,49.8,165347464,21942,13799115,,43792907,313018,15847,603997,7395640,446100137,18,81,314,19,7719621,47,83726741,27712,1638261,354116,,1,https://i.scdn.co/image/ab67616d0000b27314408503d0bb34c929cdc2b3
Murder On My Mind,Murder On My Mind,YNW Melly,06-01-2018,QMCE31801827,934,49.8,1055558326,208777,21077896,72,952644680,8820105,251510,44341738,350694950,39105354,18,299,42,10,8074,,112050497,360013,,2087864,,1,https://i.scdn.co/image/ab67616d0000b2730f5397dc6aa91374897182e0
Espresso,Espresso,Sabrina Carpenter,04-12-2024,USUV72401318,933,49.9,536986458,1,2,,,,,,,,,,,,,,,,,,,1,https://i.scdn.co/image/ab67616d0000b2737cb0c4f7761f6dd66aaca065
Pretty Little Poison,Pretty Little Poison - Single,Warren Zeiders,3/17/2023,USWB12300190,932,49.9,142512477,23828,9380794,72,56277759,436896,100195,10946988,109014578,727842762,14,202432,7,4,177002,18,71730881,10200,3516110,549127,,0,https://i.scdn.co/image/ab67616d0000b2735a82ccbb75c010b5ef4d055e
Genda Phool (feat. Payal Dev),Genda Phool (feat. Payal Dev),Badshah,3/26/2020,INS172000876,930,50,86295058,7591,3058131,55,1022945729,6994273,5444473,128000154,1953198700,197996975,7,961,,3,2467,7,519209,,,193040,,0,https://i.scdn.co/image/ab67616d0000b2731236f9aabbd45bf852bdbd9c
APAGA EL CEL,APAGA EL CEL - Single,FloyyMenor,5/17/2024,QZMWW2484259,929,50,33245898,2343,69471936,78,15755338,203277,,,,33968779,8,48,,3,821777,17,18555,27,110406,171732,,1,https://i.scdn.co/image/ab67616d0000b273200e2b6526846c59789c92e6
Pure Cocaine,Street Gossip,Lil Baby,11/30/2018,USUG11802285,928,50,652559944,170734,17463888,74,317320682,2195610,13434,7576223,62837382,7241389,21,36,1,8,35919,6,133082789,60741,97169903,1456448,,1,https://i.scdn.co/image/ab67616d0000b273659cd4673230913b3918e0d5
